,Filename,fn1,f0,fs,iferror,ifmethod,rho,p,r,g,arfunc,automodel,dq,pq,nramp,causality,f0.1,ifquality,ifwinsize,OQ1,OQ2,NAQ,AQ,ClQ,OQa,QOQ,SQ1,SQ2,DH12,PSP,HRF,Unnamed: 31
58,60.mat,60,193.00287597771262,16000,19.362204907494608,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,193.00287597771262,,6.8299375,,,,,,,,,,7.060452396598188,,-2.655634590316157,
59,61.mat,61,188.824849541661,16000,1.3382686414112452,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,188.824849541661,,2.7049375,,,,,,,,,,0.736544888381282,,-3.8032796936110382,
60,62.mat,62,213.58571200680683,16000,1.964658459581836,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,213.58571200680683,,3.2999375,,,,,,,,,,1.405786524853326,,-5.741462441068442,
61,63.mat,63,217.83968256810246,16000,1.0471389336049508,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,217.83968256810246,,3.4999375,0.99491745642949,0.807611311230336,0.160944919686928,0.0007518536275269999,0.258073098075473,0.396299801421245,0.540470595286791,2.851306765070317,2.2292034708731534,18.7376821070382,0.33935505865599497,-3.825685566490311,
62,64.mat,64,212.4358033996677,16000,1.4393954461524932,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,212.4358033996677,,3.25,,,,,,,,,,7.672135493865197,,-4.197583301932017,
63,65.mat,65,231.42607187869325,16000,1.4412682597312731,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,231.42607187869325,,3.1549375,0.498207196072554,0.416824652533618,0.041402528282722,0.000190777375969,0.145549507403828,0.088061207945344,0.15749645052467498,2.422939760903997,1.863799816079998,16.63668886164686,1.2843377560579021,-2.198934264056133,
64,66.mat,66,204.6166527208159,16000,0.7280326925087092,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,204.6166527208159,,2.9649375,,,,,,,,,,14.956617612118356,,-4.199417032782288,
65,67.mat,67,202.3324987406365,16000,3.350372736104367,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,202.3324987406365,,3.38,,,,,,,,,,7.4120051346480045,,-0.44740867140831103,
66,68.mat,68,224.16068528071938,16000,0.845801298041445,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,224.16068528071938,,2.8549375,0.7515312017640791,0.7076277500865591,0.062167979710292,0.000279868924768,0.499378545474776,0.10587651930096499,0.162206431854282,0.504932898247706,0.41701672308287396,19.29056373635128,0.7012453432277049,-0.6411686874697111,
67,69.mat,69,225.00402696902364,16000,0.94772996184401,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,225.00402696902364,,3.0899375,0.6870034956334871,0.63525296575797,0.066025929515044,0.000294423409445,0.537141391622892,0.174554000048715,0.310130320928329,0.278999359103212,0.18265502466426503,11.63740974276608,0.5222054621883979,0.26800058754164,
68,7.mat,7,343.9221798353055,16000,3.3824783605555,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,343.9221798353055,,2.9299375,0.682994400728507,0.630535410489932,0.056164123462821,0.000624356581551,0.5462024070392449,0.15154069664338699,0.19461470641563397,0.245497733485577,0.154398813267456,-47.05181501290488,1.183382836883846,34.468827228996865,
69,70.mat,70,190.7602031015365,16000,1.113317473171981,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,190.7602031015365,,3.1699375,,,,,,,,,,12.662413390363247,,-3.3536562999836863,
70,71.mat,71,200.76750874960118,16000,19.269906301327065,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,200.76750874960118,,6.56,,,,,,,,,,0.8402636393411809,,-6.370774819389791,
71,72.mat,72,191.82637012492086,16000,0.9048962535220991,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,191.82637012492086,,2.9999375,,,,,,,,,,11.818857103704488,,-10.925896365980837,
72,73.mat,73,179.36701593581162,16000,6.740101790918801,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,179.36701593581162,,3.6049375,0.531450277087524,0.4809910075737271,0.07216887348441901,0.001192813051448,0.250568011217994,0.226111363860977,0.305975655103005,1.047799116660372,0.657945914282686,-14.258896937539312,0.7025899511204301,24.77169137164635,
73,74.mat,74,188.75196068237494,16000,11.952244251342233,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,188.75196068237494,,5.2349375,,,,,,,,,,20.279659499731714,,-3.739926748067628,
74,75.mat,75,59.784558436710135,16000,0.8682193066056461,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,59.784558436710135,,5.3999375,0.734942390446827,0.685203586298673,0.18194868118818697,0.0030118547385190003,0.39982768952680997,0.497288730033198,0.337768917050175,0.8086666698028601,0.684047871483614,21.312764285534076,0.17378688172778198,-4.354761986318296,
75,76.mat,76,190.72263970257598,16000,21.305161443518244,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,190.72263970257598,,4.1849375,,,,,,,,,,2.7913364163179892,,-4.317223124560116,
76,77.mat,77,174.49164062688374,16000,4.128690171131741,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,174.49164062688374,,2.7699375,,,,,,,,,,8.984929513990133,,-2.04516553973478,
77,78.mat,78,190.259652169766,16000,1.360662796097337,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,190.259652169766,,2.6249375,,,,,,,,,,18.406072409516877,,-5.81834496783417,
78,79.mat,79,184.45817792108485,16000,39.90844937648364,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,184.45817792108485,,11.5949375,,,,,,,,,,16.196629850981115,,-5.325094532320918,
79,8.mat,8,192.8921646618547,16000,3.416432871344895,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,192.8921646618547,,2.6249375,,,,,,,,,,13.799911805217596,,-9.259588418606107,
80,80.mat,80,193.92014132391827,16000,4.9000499201000505,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,193.92014132391827,,2.7699375,,,,,,,,,,9.666765097381694,,-7.685305896286135,
81,81.mat,81,198.1924360703654,16000,2.955625864002554,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,198.1924360703654,,2.9399375,,,,,,,,,,8.08333128876236,,-2.505840261623773,
82,82.mat,82,182.66208789847298,16000,1.437906549092055,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,182.66208789847298,,2.8799375,,,,,,,,,,17.11013442313218,,-6.366695031182512,
83,83.mat,83,201.2718512749593,16000,8.667468243638314,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,201.2718512749593,,4.2049375,,,,,,,,,,13.259335755098832,,-1.3712574209888309,
84,84.mat,84,197.00303456619454,16000,5.805384989719743,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,197.00303456619454,,4.0949375,,,,,,,,,,21.460824233298627,,-2.6532786901704695,
85,85.mat,85,174.60287756982987,16000,1.3876049656913239,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,174.60287756982987,,3.4649375,1.0008525604021619,0.9256909044650151,0.131638243814135,0.0007662381962000001,0.36719005722350107,0.45455829600752,0.746614348853062,1.5852036357318215,1.020696348478527,8.291312558617578,0.5385991890084489,-6.46782871887461,
86,86.mat,86,172.0097070723702,16000,0.95292737531047,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,172.0097070723702,,2.945,1.004032244855166,0.520955562396483,0.17593614639516397,0.0010015478290610002,0.22452214361503,0.492654500101505,0.8691223390008159,3.471862902648478,1.320285892556431,16.964877862482496,0.59384051244804,-3.522592258085466,
87,87.mat,87,173.6594088557734,16000,1.693027347350439,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,173.6594088557734,,2.9049375,,,,,,,,,,3.988099728970958,,-8.85719703239426,
